Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 2, 20.0, -19.0
Query 2, 3, 30.0, -19.25
Query 3, 0, 0.0, 0
Query 4, 1, 10.0, 1
Query 5, 4, 40.0, -1.7999999999999998
Query 6, 0, 0.0, 0
Query 7, 4, 40.0, -7.6
Query 8, 4, 40.0, -11.8
Query 9, 3, 30.0, -7.5
Query 10, 0, 0.0, 0
Query 11, 2, 20.0, -17.0
Query 12, 2, 20.0, -84.0
Query 13, 4, 40.0, -4.9
Query 14, 3, 30.0, -11.5
Query 15, 3, 30.0, -11.25
Query 16, 1, 10.0, 0
Query 17, 3, 30.0, -3.75
Query 18, 0, 0.0, 0
Query 19, 2, 20.0, -72.0
Query 20, 0, 0.0, 0
Query 21, 1, 10.0, 0
Query 22, 0, 0.0, 0
Query 23, 4, 40.0, -2.5
Query 24, 0, 0.0, 0
Query 25, 0, 0.0, 0
Query 26, 1, 10.0, 0
Query 27, 2, 20.0, -9.0
Query 28, 4, 40.0, -9.0
Query 29, 2, 20.0, -16.0
Query 30, 1, 10.0, 0
Query 31, 3, 30.0, -12.5
Query 32, 2, 20.0, -12.0
Query 33, 0, 0.0, 0
Query 34, 4, 40.0, -5.7
Query 35, 2, 20.0, -89.0
Query 36, 4, 40.0, -2.0
Query 37, 0, 0.0, 0
Query 38, 1, 10.0, 0
Query 39, 2, 20.0, -24.0
Query 40, 1, 10.0, 0
Query 41, 4, 40.0, -6.4
Query 42, 4, 40.0, -0.19999999999999996
Query 43, 2, 20.0, -12.0
Query 44, 3, 30.0, -3.5
Query 45, 3, 30.0, -10.5
Query 46, 5, 50.0, -0.10000000000000009
Query 47, 1, 10.0, 0
Query 48, 1, 10.0, 0
Query 49, 0, 0.0, 0
Query 50, 1, 10.0, 0
Query 51, 1, 10.0, 0
Query 52, 0, 0.0, 0
Query 53, 1, 10.0, 0
Query 54, 2, 20.0, -57.0
Query 55, 3, 30.0, -9.25
Query 56, 3, 30.0, -12.5
Query 57, 1, 10.0, 0
Query 58, 2, 20.0, -15.0
Query 59, 1, 10.0, 0
Query 60, 3, 30.0, -22.25
Query 61, 1, 10.0, 0
Query 62, 2, 20.0, -19.0
Query 63, 3, 30.0, -13.75
Query 64, 2, 20.0, -12.0
Query 65, 2, 20.0, -15.0
Query 66, 1, 10.0, 0
Query 67, 0, 0.0, 0
Query 68, 2, 20.0, -24.0
Query 69, 1, 10.0, 0
Query 70, 0, 0.0, 0
Query 71, 2, 20.0, -60.0
Query 72, 1, 10.0, 0
Query 73, 2, 20.0, -24.0
Query 74, 2, 20.0, -24.0
Query 75, 5, 50.0, -3.8
Query 76, 2, 20.0, -4.0
Query 77, 2, 20.0, -33.0
Query 78, 0, 0.0, 0
Query 79, 3, 30.0, -5.5
Query 80, 3, 30.0, -21.5
Query 81, 1, 10.0, 0
Query 82, 3, 30.0, -20.0
Query 83, 2, 20.0, -40.0
Query 84, 1, 10.0, 0
Query 85, 1, 10.0, 0
Query 86, 3, 30.0, -8.5
Query 87, 2, 20.0, -8.0
Query 88, 2, 20.0, -24.0
Query 89, 2, 20.0, -33.0
Query 90, 1, 10.0, 0
Query 91, 0, 0.0, 0
Query 92, 3, 30.0, -5.25
Query 93, 5, 50.0, -3.2
Query 94, 0, 0.0, 0
Query 95, 3, 30.0, -7.5
Query 96, 5, 50.0, -2.65
Query 97, 1, 10.0, 0
Query 98, 2, 20.0, -4.0
Query 99, 3, 30.0, -2.25
Query 100, 2, 20.0, -72.0
Averages, 1.94, 19.4, -10.906500000000001
